Unnamed: 0,difference
0,-12.0
1,-14.0
2,-2.0
3,-2.0
4,-8.0
5,-14.0
6,-14.0
7,-14.0
8,1.0
9,-12.0
0,0.0
1,-8.0
2,-7.0
3,-6.0
4,-14.0
5,-6.0
6,-12.0
7,-8.0
8,-11.0
9,-1.0
0,-14.0
1,-9.0
2,-0.0
3,-9.0
4,0.0
5,9.0
6,5.0
7,4.0
8,0.0
9,0.0
0,5.0
1,5.0
2,0.0
3,0.0
4,5.0
5,3.0
6,-0.0
7,-8.0
8,-0.0
9,-7.0
0,-0.0
1,-7.0
2,-12.0
3,-1.0
4,-8.0
5,-12.0
6,-2.0
7,-9.0
8,-10.0
9,-10.0
0,-13.0
1,-13.0
2,-7.0
3,-1.0
4,-1.0
5,-14.0
6,-1.0
7,-14.0
8,-9.0
9,-7.0
0,-8.0
1,-2.0
2,-1.0
3,-3.0
4,-5.0
5,-11.0
6,-10.0
7,-5.0
8,-11.0
9,-1.0
0,-9.0
1,-3.0
2,-8.0
3,-14.0
4,-7.0
5,-2.0
6,-7.0
7,-5.0
8,-0.0
9,-1.0
0,-10.0
1,-0.0
2,-0.0
3,-0.0
4,-1.0
5,-1.0
6,-10.0
7,-4.0
8,-4.0
9,-4.0
0,-4.0
1,-4.0
2,-2.0
3,-1.0
4,-0.0
5,-7.0
6,-2.0
7,-10.0
8,-2.0
9,-12.0
0,-5.0
1,-12.0
2,-2.0
3,-4.0
4,-11.0
5,-2.0
6,-6.0
7,-3.0
8,-3.0
