Unnamed: 0,difference
0,-8.0
1,-10.0
2,-10.0
3,-8.0
4,-7.0
5,-9.0
6,-5.0
7,-7.0
8,-12.0
9,-7.0
0,-2.0
1,-10.0
2,-5.0
3,-0.0
4,-10.0
5,-9.0
6,-2.0
7,-0.0
8,-5.0
9,-5.0
0,-2.0
1,-9.0
2,-2.0
3,-4.0
4,-0.0
5,-2.0
6,-7.0
7,-12.0
8,-7.0
9,-12.0
0,-14.0
1,-1.0
2,-13.0
3,-1.0
4,-6.0
5,-10.0
6,-6.0
7,-1.0
8,-0.0
9,-0.0
0,-0.0
1,-9.0
2,-5.0
3,-0.0
4,-0.0
5,-0.0
6,-0.0
7,-9.0
8,-5.0
9,-0.0
0,-0.0
1,-3.0
2,-0.0
3,-10.0
4,-6.0
5,-0.0
6,-9.0
7,-0.0
8,-6.0
9,-7.0
0,-5.0
1,-0.0
2,-0.0
3,-1.0
4,-2.0
5,-9.0
6,-2.0
7,-5.0
8,-2.0
9,-9.0
0,-7.0
1,-11.0
2,-14.0
3,-2.0
4,-14.0
5,-2.0
6,-7.0
7,-12.0
8,-5.0
9,-14.0
0,-9.0
1,7.0
2,1.0
3,2.0
4,0.0
5,6.0
6,8.0
7,8.0
8,6.0
9,0.0
0,8.0
1,2.0
2,1.0
3,4.0
4,6.0
5,8.0
6,3.0
7,3.0
8,3.0
9,0.0
0,5.0
1,7.0
2,0.0
3,5.0
4,5.0
5,5.0
6,5.0
7,5.0
8,5.0
9,0.0
0,5.0
1,0.0
2,5.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,5.0
9,5.0
0,5.0
