Unnamed: 0,difference
0,-2.0
1,-2.0
2,-6.0
3,-3.0
4,-1.0
5,-7.0
6,1.0
7,3.0
8,3.0
9,5.0
0,5.0
1,7.0
2,0.0
3,0.0
4,6.0
5,1.0
6,1.0
7,8.0
8,1.0
9,6.0
0,0.0
1,1.0
2,0.0
3,0.0
4,5.0
5,0.0
6,0.0
7,0.0
8,3.0
9,0.0
0,5.0
1,6.0
2,0.0
3,6.0
4,6.0
5,3.0
6,1.0
7,9.0
8,9.0
9,7.0
0,4.0
1,9.0
2,1.0
3,3.0
4,3.0
5,3.0
6,3.0
7,3.0
8,9.0
9,7.0
0,0.0
1,-9.0
2,-13.0
3,-14.0
4,-6.0
5,-14.0
6,-1.0
7,-0.0
8,-7.0
9,-14.0
0,-7.0
1,-12.0
2,-2.0
3,-7.0
4,-14.0
5,-2.0
6,-12.0
7,-12.0
8,-7.0
9,-14.0
0,-7.0
1,-9.0
2,-12.0
3,-7.0
4,-12.0
