Unnamed: 0,difference
0,6.0
1,5.0
2,3.0
3,6.0
4,5.0
5,7.0
6,6.0
7,1.0
8,7.0
9,5.0
0,7.0
1,7.0
2,9.0
3,4.0
4,3.0
5,4.0
6,4.0
7,4.0
8,3.0
9,3.0
0,3.0
1,7.0
2,7.0
3,8.0
4,2.0
5,9.0
6,4.0
7,8.0
8,3.0
9,8.0
0,3.0
1,8.0
2,4.0
3,3.0
4,3.0
5,7.0
6,3.0
7,3.0
8,3.0
9,2.0
0,3.0
1,2.0
2,2.0
3,1.0
4,2.0
5,1.0
6,0.0
7,0.0
9,-12.0
0,-14.0
1,-7.0
2,-13.0
3,-7.0
4,-13.0
5,-14.0
6,-13.0
7,-13.0
8,-6.0
9,-12.0
0,-13.0
1,-13.0
2,-4.0
3,-14.0
4,-13.0
5,-14.0
6,-13.0
7,-2.0
8,-12.0
9,-14.0
0,-12.0
1,-6.0
2,-12.0
3,-13.0
4,-12.0
5,-11.0
6,-13.0
7,-13.0
8,-13.0
9,-14.0
0,-13.0
1,-12.0
2,-13.0
3,-13.0
4,-13.0
5,-13.0
6,-12.0
7,-12.0
8,-13.0
9,-12.0
0,-13.0
1,-12.0
2,-14.0
3,-13.0
4,-12.0
5,-13.0
6,-8.0
7,-12.0
8,-13.0
9,-12.0
0,-0.0
1,-13.0
2,-12.0
3,-11.0
4,-12.0
5,-13.0
