Unnamed: 0,difference
0,4.0
1,4.0
2,1.0
3,3.0
4,8.0
5,8.0
6,6.0
7,8.0
8,1.0
9,1.0
0,1.0
1,4.0
2,9.0
3,4.0
4,8.0
5,3.0
6,8.0
7,3.0
8,2.0
9,2.0
0,2.0
1,1.0
2,9.0
3,6.0
4,3.0
5,1.0
6,1.0
7,1.0
8,9.0
9,1.0
0,0.0
1,6.0
2,1.0
3,4.0
4,0.0
5,9.0
6,5.0
7,4.0
5,-11.0
6,-9.0
7,-13.0
8,-12.0
9,-2.0
0,-12.0
1,-14.0
2,-4.0
3,-9.0
4,-13.0
5,-11.0
6,-13.0
7,-12.0
8,-13.0
9,-12.0
0,-13.0
1,-13.0
2,-14.0
3,-14.0
4,-14.0
5,-1.0
6,-4.0
7,-7.0
8,-0.0
9,-0.0
0,-10.0
1,-14.0
2,-5.0
3,-0.0
4,-10.0
5,-1.0
6,-5.0
7,-0.0
8,-5.0
9,-9.0
0,-4.0
1,-14.0
2,-4.0
3,-6.0
4,-14.0
5,-5.0
6,-1.0
7,-4.0
8,-14.0
9,-12.0
0,-14.0
1,-4.0
2,-9.0
3,-13.0
4,-8.0
5,-7.0
6,-6.0
