Unnamed: 0,difference
0,9.0
1,6.0
2,0.0
3,9.0
4,6.0
5,9.0
6,4.0
7,7.0
8,0.0
9,8.0
0,6.0
1,6.0
2,7.0
3,3.0
4,3.0
5,4.0
6,4.0
7,4.0
8,9.0
9,9.0
0,9.0
1,4.0
2,4.0
3,5.0
4,8.0
5,5.0
6,0.0
7,4.0
8,9.0
9,4.0
0,9.0
1,4.0
2,0.0
3,9.0
4,9.0
5,3.0
6,9.0
7,9.0
8,8.0
9,7.0
0,8.0
1,7.0
2,7.0
3,6.0
4,7.0
5,6.0
6,5.0
7,5.0
3,-14.0
4,-7.0
5,-1.0
6,-7.0
7,-0.0
8,-14.0
9,-12.0
0,-14.0
1,-13.0
2,-13.0
3,-13.0
4,-5.0
5,-10.0
6,-8.0
7,-10.0
8,-8.0
9,-10.0
0,-7.0
1,-2.0
2,-11.0
3,-7.0
4,-11.0
5,-13.0
6,-11.0
7,-10.0
8,-5.0
9,-11.0
0,-11.0
1,-11.0
2,-10.0
3,-11.0
4,-11.0
5,-11.0
6,-12.0
7,-11.0
8,-10.0
9,-11.0
0,-11.0
1,-11.0
2,-11.0
3,-11.0
4,-10.0
5,-11.0
6,-11.0
7,-11.0
8,-11.0
9,-11.0
0,-13.0
1,-12.0
2,-12.0
3,-14.0
4,-13.0
5,-14.0
6,-13.0
7,-2.0
8,-14.0
9,-14.0
0,-12.0
1,-0.0
2,-0.0
