60995,60470,54600,61772
06:40,06:48,06:52,6.57
07:48,07:52,07:57,
08:48,08:52,08:57,
09:48,09:52,09:57,
10:48,10:52,10:57,
11:48,11:52,11:57,
12:48,12:52,12:57,
13:48,13:52,13:57,
14:48,14:52,14:57,
15:48,15:52,15:57,
16:48,16:52,16:57,
17:48,17:52,17:57,
18:48,18:52,18:57,
19:48,19:52,19:57,
20:48,20:52,20:57,
21:48,21:52,21:57,
