60236,58016,58011,58015,58766,58013
4.45,4.55,5.0,5.05, -,5.15
5.45,5.55,6.0,6.05, -,6.15
6.5,7.0,7.05,7.1, -,7.2
7.55,8.05,8.1,8.15,08:20,8.25
9.0,9.1,9.15,9.2,09:25,9.3
10.1,10.2,10.25,10.3,10:35,10.4
12.25,12.35,12.4,12.45,12:50,12.55
2.15,2.25,2.3,2.35,14:40,2.45
3.2,3.3,3.35,3.4,15:45,3.5
4.25,4.35,4.4,4.45,16:50,4.55
5.35,5.45,5.5,5.55,18:00,6.05
6.4,6.5,6.55,7.0,19:05,7.1
8.0,8.1,8.15,8.2,20:25,8.3
