58013,58020,58018
5.2,5.27,5.35
6.2,6.27,6.35
7.25,7.32,7.4
8.3,8.37,8.45
10.45,10.52,11.0
1.05,1.12,1.2
2.0,2.07,2.15
2.5,2.57,3.05
3.55,4.02,4.1
5.0,5.07,5.15
6.1,6.17,6.25
7.15,7.22,7.3
8.4,8.47,8.55
