58013,60237,58015,58016,60236
-,05:20, -,5.37,5.4
06:20, -,06:37,6.4,
07:25, -,07:42,7.45,
08:30,08:35,08:40,8.47,8.5
09:35,09:40,09:45,9.52,9.55
11:50,11:55,12:00,12.07,12.1
01:40,01:45,13:50,1.57,2.0
02:50,02:55,15:00,3.07,3.1
03:55,04:00,16:05,4.12,4.15
05:00,05:05,17:10,5.17,5.2
06:10,06:15,18:20,6.27,6.3
07:15,07:20,19:25,7.32,7.35
08:40, -,20:57,9.0,
