53989,54002,60278,60689,50043
07:28,07:35,07:48,07:49,08:14
07:57,08:04,08:16,08:17,08:42
08:27,08:34,08:46,08:47,09:12
08:57,09:04,09:16,09:17,09:43
09:27,09:34,09:46,09:47,10:13
09:58,10:05,10:16,10:17,10:42
10:28,10:35,10:46,10:47,11:12
10:55,11:02,11:12,11:13,11:38
11:29,11:36,11:46,11:47,12:12
11:59,12:06,12:16,12:17,12:40
12:30,12:37,12:47,-,-
12:41,12:48,12:58,-,-
-,-,-,13:35,13:57
13:40,13:47,13:56,-,-
