61782,61260,54441,54613,60995
06:05,06:13,06:21,06:26,6.4
07:13,07:21,07:26,07:40,
08:13,08:21,08:26,08:40,
09:13,09:21,09:26,09:40,
10:13,10:21,10:26,10:40,
11:13,11:21,11:26,11:40,
12:14,12:21,12:26,12:40,
13:14,13:21,13:26,13:40,
14:14,14:21,14:26,14:40,
15:14,15:21,15:26,15:40,
16:14,16:21,16:26,16:40,
17:14,17:21,17:26,17:40,
18:14,18:21,18:26,18:40,
19:13,19:21,19:26,19:40,
20:13,20:21,20:26,20:40,
21:13,21:21,21:26,21:40,
