210 Upper Lynn Valley Monday - Friday
Burrard Station Bay 2,Phibbs Exchange (E),Phibbs Exchange Bay 4,Lynn Valley Bay 3,Underwood at Evelyn (E)
-,-,5:50,6:01,6:08
-,-,6:01,6:12,6:20
5:51,6:14,6:16,6:27,6:35
6:01,6:24,6:26,6:37,6:45
6:19,6:42,6:44,6:56,7:04
6:32,6:55,6:57,7:09,7:18
6:48,7:12,7:14,7:26,7:35
7:02,7:27,7:29,7:41,7:50
7:16,7:43,7:44,7:56,8:05
7:29,7:56,7:57,8:11,8:20
7:47,8:14,8:15,8:28,8:37
8:03,8:30,8:31,8:44,8:53
8:18,8:45,8:46,8:59,9:08
8:34,9:00,9:01,9:14,9:22
8:50,9:16,9:17,9:30,9:38
9:18,9:44,9:46,9:59,10:07
9:49,10:14,10:16,10:29,10:37
10:19,10:44,10:46,10:59,11:07
10:49,11:14,11:16,11:29,11:38
11:19,11:44,11:46,11:59,12:08
11:48,12:15,12:17,12:30,12:39
12:18,12:45,12:47,1:00,1:09
12:46,1:14,1:16,1:29,1:39
1:14,1:42,1:44,1:58,2:08
-,-,2:10,2:12,2:26,2:37
-,-,2:41,2:42,2:56,3:07
-,-,3:14,3:15,3:29,3:42
-,-,3:40,3:41,3:55,4:08
-,-,4:01,4:02,4:16,4:26
-,-,4:14,4:15,4:29,4:39
-,-,4:27,4:28,4:42,4:52
-,-,4:42,4:43,4:57,5:07
-,-,4:58,4:59,5:13,5:23
-,-,5:17,5:18,5:32,5:42
-,-,5:31,5:32,5:46,5:56
-,-,5:48,5:49,6:03,6:13
-,-,6:00,6:01,6:15,6:25
-,-,6:16,6:17,6:31,6:41
-,-,6:32,6:33,6:47,6:57
-,-,6:40,-,-,-
-,-,6:48,6:49,7:03,7:13
-,-,6:37,7:01,7:02,7:14,7:23
-,-,6:52,7:16,7:17,7:28,7:37
-,-,7:06,7:30,7:31,7:43,7:52
-,-,7:22,7:46,7:47,7:59,8:08
-,-,7:53,8:17,8:18,8:30,8:38
